Content,Likes,Retweets,Replies,Quotes,Views,Date,Labels,chars,words,sentences,Tokenized Text,Lematized Text
how comes i have overdue debts na sijakopawhats happening safaricom,1,0,0,0,21,"July 27, 2025 at 07:51 PM",Customer care complaint,99,19,1,"['how', 'comes', 'i', 'have', 'overdue', 'debts', 'na', 'sijakopawhats', 'happening', 'safaricom']","['how', 'come', 'i', 'have', 'overdue', 'debt', 'na', 'sijakopawhats', 'happening', 'safaricom']"
montyhasashi safaricom,0,0,0,0,22,"July 27, 2025 at 03:26 AM",Neutral,28,5,1,"['montyhasashi', 'safaricom']","['montyhasashi', 'safaricom']"
safaricom weka data wacheni jokesthank you for being part of our journey today you have been gifted with unlimited sms to keep you and your loved ones connected all day long,0,0,0,0,6,"July 26, 2025 at 08:23 AM",Internet or airtime bundle complaint,181,38,2,"['safaricom', 'weka', 'data', 'wacheni', 'jokesthank', 'you', 'for', 'being', 'part', 'of', 'our', 'journey', 'today', 'you', 'have', 'been', 'gifted', 'with', 'unlimited', 'sms', 'to', 'keep', 'you', 'and', 'your', 'loved', 'ones', 'connected', 'all', 'day', 'long']","['safaricom', 'weka', 'data', 'wacheni', 'jokesthank', 'you', 'for', 'being', 'part', 'of', 'our', 'journey', 'today', 'you', 'have', 'been', 'gifted', 'with', 'unlimited', 'sm', 'to', 'keep', 'you', 'and', 'your', 'loved', 'one', 'connected', 'all', 'day', 'long']"
safaricomplc hello safaricomplc safaricom can you borrow from airtel and allow management of more than one safaricom number in your mpesa and safaricom app i mean the majority of kenyans have more than one safaricom line ps the safaricom app has a superior ui to mpesa app,0,0,0,0,47,"July 24, 2025 at 08:13 PM",Customer care complaint,280,53,4,"['safaricomplc', 'hello', 'safaricomplc', 'safaricom', 'can', 'you', 'borrow', 'from', 'airtel', 'and', 'allow', 'management', 'of', 'more', 'than', 'one', 'safaricom', 'number', 'in', 'your', 'mpesa', 'and', 'safaricom', 'app', 'i', 'mean', 'the', 'majority', 'of', 'kenyans', 'have', 'more', 'than', 'one', 'safaricom', 'line', 'ps', 'the', 'safaricom', 'app', 'has', 'a', 'superior', 'ui', 'to', 'mpesa', 'app']","['safaricomplc', 'hello', 'safaricomplc', 'safaricom', 'can', 'you', 'borrow', 'from', 'airtel', 'and', 'allow', 'management', 'of', 'more', 'than', 'one', 'safaricom', 'number', 'in', 'your', 'mpesa', 'and', 'safaricom', 'app', 'i', 'mean', 'the', 'majority', 'of', 'kenyan', 'have', 'more', 'than', 'one', 'safaricom', 'line', 'p', 'the', 'safaricom', 'app', 'ha', 'a', 'superior', 'ui', 'to', 'mpesa', 'app']"
peterndegwa safaricomplc safaricomcare safbusiness safaricom jambo kindly consider introducing a narration that will help alot in clarifying the nature of a transaction making it easier to understand the who what and why of the transaction,0,0,0,0,5,"July 24, 2025 at 10:51 AM",Customer care complaint,255,48,2,"['peterndegwa', 'safaricomplc', 'safaricomcare', 'safbusiness', 'safaricom', 'jambo', 'kindly', 'consider', 'introducing', 'a', 'narration', 'that', 'will', 'help', 'alot', 'in', 'clarifying', 'the', 'nature', 'of', 'a', 'transaction', 'making', 'it', 'easier', 'to', 'understand', 'the', 'who', 'what', 'and', 'why', 'of', 'the', 'transaction']","['peterndegwa', 'safaricomplc', 'safaricomcare', 'safbusiness', 'safaricom', 'jambo', 'kindly', 'consider', 'introducing', 'a', 'narration', 'that', 'will', 'help', 'alot', 'in', 'clarifying', 'the', 'nature', 'of', 'a', 'transaction', 'making', 'it', 'easier', 'to', 'understand', 'the', 'who', 'what', 'and', 'why', 'of', 'the', 'transaction']"
update safaricom plc nse scom has announced a historic milestone surpassing 50 million customers across its mobile network in kenya highlighting the trust loyalty and partnership of kenyans over the past two and a half decades,0,0,0,0,80,"July 24, 2025 at 09:09 AM",Neutral,262,50,2,"['update', 'safaricom', 'plc', 'nse', 'scom', 'has', 'announced', 'a', 'historic', 'milestone', 'surpassing', '50', 'million', 'customers', 'across', 'its', 'mobile', 'network', 'in', 'kenya', 'highlighting', 'the', 'trust', 'loyalty', 'and', 'partnership', 'of', 'kenyans', 'over', 'the', 'past', 'two', 'and', 'a', 'half', 'decades']","['update', 'safaricom', 'plc', 'nse', 'scom', 'ha', 'announced', 'a', 'historic', 'milestone', 'surpassing', '50', 'million', 'customer', 'across', 'it', 'mobile', 'network', 'in', 'kenya', 'highlighting', 'the', 'trust', 'loyalty', 'and', 'partnership', 'of', 'kenyan', 'over', 'the', 'past', 'two', 'and', 'a', 'half', 'decade']"
customer growth 50m connected the safaricom story proves one thing when purpose meets innovation impact follows this is more than a network its a national treasure,0,2,0,0,19,"July 24, 2025 at 08:36 AM",Neutral,196,39,4,"['customer', 'growth', '50m', 'connected', 'the', 'safaricom', 'story', 'proves', 'one', 'thing', 'when', 'purpose', 'meets', 'innovation', 'impact', 'follows', 'this', 'is', 'more', 'than', 'a', 'network', 'its', 'a', 'national', 'treasure']","['customer', 'growth', '50m', 'connected', 'the', 'safaricom', 'story', 'prof', 'one', 'thing', 'when', 'purpose', 'meet', 'innovation', 'impact', 'follows', 'this', 'is', 'more', 'than', 'a', 'network', 'it', 'a', 'national', 'treasure']"
through the safaricom and mpesa foundations 8m kenyans have benefited from projects in education healthcare economic empowerment thats real social investment 50m connected customer growth,0,2,0,0,29,"July 24, 2025 at 08:14 AM",Neutral,226,39,3,"['through', 'the', 'safaricom', 'and', 'mpesa', 'foundations', '8m', 'kenyans', 'have', 'benefited', 'from', 'projects', 'in', 'education', 'healthcare', 'economic', 'empowerment', 'thats', 'real', 'social', 'investment', '50m', 'connected', 'customer', 'growth']","['through', 'the', 'safaricom', 'and', 'mpesa', 'foundation', '8m', 'kenyan', 'have', 'benefited', 'from', 'project', 'in', 'education', 'healthcare', 'economic', 'empowerment', 'thats', 'real', 'social', 'investment', '50m', 'connected', 'customer', 'growth']"
in the last financial year safaricom contributed kes 722b to the kenyan economy thats 57 of gdp powering growth infrastructure jobs and national development 50m connected customer growth,0,0,0,0,6,"July 24, 2025 at 08:12 AM",Neutral,224,44,4,"['in', 'the', 'last', 'financial', 'year', 'safaricom', 'contributed', 'kes', '722b', 'to', 'the', 'kenyan', 'economy', 'thats', '57', 'of', 'gdp', 'powering', 'growth', 'infrastructure', 'jobs', 'and', 'national', 'development', '50m', 'connected', 'customer', 'growth']","['in', 'the', 'last', 'financial', 'year', 'safaricom', 'contributed', 'kes', '722b', 'to', 'the', 'kenyan', 'economy', 'thats', '57', 'of', 'gdp', 'powering', 'growth', 'infrastructure', 'job', 'and', 'national', 'development', '50m', 'connected', 'customer', 'growth']"
beyond kenya safaricom is also winning in ethiopia as of july 2025 its operations there have surpassed 10 million customers proof that its vision for african expansion is taking root 50m connected customer growth,0,1,1,0,17,"July 24, 2025 at 08:10 AM",Neutral,243,43,3,"['beyond', 'kenya', 'safaricom', 'is', 'also', 'winning', 'in', 'ethiopia', 'as', 'of', 'july', '2025', 'its', 'operations', 'there', 'have', 'surpassed', '10', 'million', 'customers', 'proof', 'that', 'its', 'vision', 'for', 'african', 'expansion', 'is', 'taking', 'root', '50m', 'connected', 'customer', 'growth']","['beyond', 'kenya', 'safaricom', 'is', 'also', 'winning', 'in', 'ethiopia', 'a', 'of', 'july', '2025', 'it', 'operation', 'there', 'have', 'surpassed', '10', 'million', 'customer', 'proof', 'that', 'it', 'vision', 'for', 'african', 'expansion', 'is', 'taking', 'root', '50m', 'connected', 'customer', 'growth']"
