Content,Likes,Retweets,Replies,Quotes,Views,Labels,cleaned_sentence,encoded_labels
@ledamalekina @safaricom Exactly,1,0,0,0,0,Neutral,ledamalekina safaricom Exactly,6
@InteriorKE And why are FanakaLotto still operating and playing us for fools? Please tell them I can't pay 50 for what I already won. Or did I miss something here? And @safaricom should stop sharing our numbers with these people. Siwajui https://t.co/9SricGKUuQ,0,0,0,0,0,Data protection and privacy concern,InteriorKE And why are FanakaLotto still operating and playing us for fools Please tell them I cannot pay 50 for what I already won Or did I miss something here And safaricom should stop sharing our numbers with these people Siwajui,1
@safaricom rudisheni hii na mnipee bundles .sasa sms nazifanyia nini https://t.co/CvaD1kd5wM,1,0,0,0,16,Internet or airtime bundle complaint,safaricom rudisheni hii na mnipee bundles sasa sms nazifanyia nini,3
@RobertAlai @safaricom @PeterNdegwa_ Hii maneno peleka County Assembly... Hizi streets ni kelele tupu,0,0,0,0,48,Neutral,RobertAlai safaricom PeterNdegwa Hii maneno peleka County Assembly Hizi streets ni kelele tupu,6
"@evenmaina @safaricom PLC I hate you , mlikwamilia my money now it's months ati sijui mnaniuliza hizo pesa zilitoka wapi? Like seriously, mnajua tunawork hard bana ,we hate your poor service",0,0,0,0,16,Customer care complaint,evenmaina safaricom PLC I hate you mlikwamilia my money now it is months ati sijui mnaniuliza hizo pesa zilitoka wapi Like seriously mnajua tunawork hard bana we hate your poor service,0
@Safaricom_Care Please @safaricom care share me my mpesa statement as from may 2022 my Gmail is chumban032@gmail.com,1,0,1,0,0,MPESA complaint,SafaricomCare Please safaricom care share me my mpesa statement as from may 2022 my Gmail is chumban032gmailcom,4
@BiancaNaom1 @safaricom should go to hell,0,0,0,0,6,Hate Speech,BiancaNaom1 safaricom should go to hell,2
"@K24Tv I think @safaricom should develop a reliable contingency measure to help users go through such times. It is sometimes annoying when you're compelled by sudden vicissitudes and it's all about giving some remittance. That's when u know, much more is needed here to be fixed",0,0,0,0,0,Network reliability problem,K24Tv I think safaricom should develop a reliable contingency measure to help users go through such times It is sometimes annoying when you are compelled by sudden vicissitudes and it is all about giving some remittance that is when u know much more is needed here to be fixed,5
@Sir_WilliamOk @CryptoHubKE @safaricom That's awesome that you've had a good experience so far,0,0,0,0,0,Neutral,SirWilliamOk CryptoHubKE safaricom that is awesome that you have had a good experience so far,6
"@Kenyans 🤣🤣🤣🤣🤣 whoever advises these goons is so damn!! daft!! So they think @Elonmusk is @safaricom.
My frens, you're just but SISIMIZI🐜 to these companies. Goons who are so drunk with power that they think you can control the world!! Shenzi sana!!!",0,0,0,0,14,Hate Speech,Kenyans whoever advises these goons is so damn daft So they think Elonmusk is safaricom My frens you are just but SISIMIZI to these companies Goons who are so drunk with power that they think you can control the world Shenzi sana,2
@safaricom wametufanya maskini,0,0,0,0,11,Hate Speech,safaricom wametufanya maskini,2
"@SafaricomPLC @safaricom thinks we're fools that we don't know what they're doing..... please save us this nonsense.....
How did those killers get the location of those who were abducted ⁉️.",0,0,0,0,5,Hate Speech,SafaricomPLC safaricom thinks we are fools that we do not know what they are doing please save us this nonsense How did those killers get the location of those who were abducted,2
@wachmaina @kirigwi @MwangoCapital @BritamEA @withkoa @AAR_Insurance @safaricom @awscloud @kachwanya @DollyOgutu @taitangetich @mbuguanjihia @bankelele @coldtusker @majiwater @TimKipchumba Safaricom Becomes Amazon Web Services Reseller In Kenya and EA https://t.co/3848JuvCmV,8,6,0,0,0,Neutral,wachmaina kirigwi MwangoCapital BritamEA withkoa AARInsurance safaricom awscloud kachwanya DollyOgutu taitangetich mbuguanjihia bankelele coldtusker majiwater TimKipchumba Safaricom Becomes Amazon Web Services Reseller In Kenya and EA,6
"@FortniteStatus @FortniteME @EpicGames the issue has started again kindly please contact them we are playing on 300ms instead of 60 players from South and East Africa have reported its been 1 month now 

@SafaricomPLC @Safaricom Care https://t.co/FVIFaDg5pj",3,2,0,0,43,Network reliability problem,FortniteStatus FortniteME EpicGames the issue has started again kindly please contact them we are playing on 300ms instead of 60 players from South and East Africa have reported its been 1 month now SafaricomPLC Safaricom Care,5
@KCBGroup kindly reply to my dms. Someone with a kcb mpesa went missing after i had sent the amount to this paybill. @safaricom  asked me to inquire from you https://t.co/7WY25OgYcH,0,0,0,0,82,MPESA complaint,KCBGroup kindly reply to my dms Someone with a kcb mpesa went missing after i had sent the amount to this paybill safaricom asked me to inquire from you,4
"It’s only when you step out here that you realise how big the need is.

When schools reopen and in partnership with @Food4Education, @Safaricom PLC and #CISCO we shall introduce #TapToEat technology for a new way to do lunches in our public schools in Dagoretti South. https://t.co/yw1hYMr5nf",18,6,4,1,0,Neutral,Its only when you step out here that you realise how big the need is When schools reopen and in partnership with Food4Education Safaricom PLC and CISCO we shall introduce TapToEat technology for a new way to do lunches in our public schools in Dagoretti South,6
@Robert13313519 @safaricom Fx losses on its investments in Kenya Shilling and U.S. dollar terms.,4,1,0,0,163,Neutral,Robert13313519 safaricom Fx losses on its investments in Kenya Shilling and US dollar terms,6
"Panel session with Tabie Kioko - Senior Manager, Diversity and Inclusion @Safaricom, Dennis Mwaura - Founder and CEO @DenriAfrica, Dennis Mbuthia - Head of Video Gaming @ADMIafrica &amp; Hosea Wanderi - Researcher, @MuseumsofKenya during the ongoing @KIPPRAKENYA Annual Conference. https://t.co/uKlmwVsEol",14,7,1,1,0,Neutral,Panel session with Tabie Kioko Senior Manager Diversity and Inclusion Safaricom Dennis Mwaura Founder and CEO DenriAfrica Dennis Mbuthia Head of Video Gaming ADMIafrica amp Hosea Wanderi Researcher MuseumsofKenya during the ongoing KIPPRAKENYA Annual Conference,6
What Ezra Chiloba &amp; @Safaricom  did would've caused him &amp; a large number of people in both Safaricom &amp; Communications Authority to be JAILED - were Kenya a decent country.,6,6,0,0,0,Hate Speech,What Ezra Chiloba amp Safaricom did would have caused him amp a large number of people in both Safaricom amp Communications Authority to be JAILED were Kenya a decent country,2
@safaricom I need to be connected to safaricom home fiber at kitengera Epz area... is it possible? And how soon?,0,0,0,0,0,Neutral,safaricom I need to be connected to safaricom home fiber at kitengera Epz area is it possible And how soon,6
@ledamalekina @safaricom Do what we elected you to do not asking us silly questions,0,0,0,0,0,Neutral,ledamalekina safaricom Do what we elected you to do not asking us silly questions,6
"2 - Digital identity needs to be more accessible and affordable. @Safaricom , why do I need to incur a separate KYC check cost + maintenance when you have both origination and recency?",0,0,1,0,0,Data protection and privacy concern,2 Digital identity needs to be more accessible and affordable Safaricom why do I need to incur a separate KYC check cost maintenance when you have both origination and recency,1
@edgarwabwire_ @safaricom,0,0,0,0,6,Neutral,edgarwabwire safaricom,6
