Tweet ID,URL,Content,Likes,Retweets,Replies,Quotes,Views,Date,Labels
1.95e+18,https://x.com/MawiaDorothy/status/1949558368160420057,How comes I have overdue debts.. na sijakopa..what's happening 😢 @safaricom https://t.co/H7ioVsd0d1,1,0,0,0,21,"July 27, 2025 at 07:51 PM",Customer care complaint
1.95e+18,https://x.com/KruiGeofrey/status/1949310365839368542,@Monty_Hasashi @Safaricom 😂😂,0,0,0,0,22,"July 27, 2025 at 03:26 AM",Neutral
1.95e+18,https://x.com/martozgicha/status/1949022872242192438,"@safaricom weka data ,wacheni jokes...Thank you for being part of our journey. Today, you have been gifted with UNLIMITED SMS to keep you and your loved ones connected all day long.",0,0,0,0,6,"July 26, 2025 at 08:23 AM",Neutral
1.95e+18,https://x.com/liyansmutembei/status/1948476756530200936,@SafaricomPLC Hello @SafaricomPLC   @safaricom can you borrow from Airtel and allow management of more than one Safaricom number in your Mpesa and safaricom App. I mean the majority of Kenyans have more than one Safaricom line. Ps. The Safaricom App has a superior UI to MPESA APP,0,0,0,0,47,"July 24, 2025 at 08:13 PM",Neutral
1.95e+18,https://x.com/SsirNixoNdugire/status/1948335161726095601,"@PeterNdegwa_ @SafaricomPLC @Safaricom_Care @Saf_Business @safaricom Jambo. Kindly consider introducing a Narration that will help alot in clarifying the nature of a transaction, making it easier to understand the ""who, what, and why"" of the transaction!.",0,0,0,0,5,"July 24, 2025 at 10:51 AM",Neutral
1.95e+18,https://x.com/sokodirectory/status/1948309591462232264,"Update: @Safaricom PLC  (NSE: SCOM), has announced a historic milestone, surpassing 50 million customers across its mobile network in Kenya, highlighting the trust, loyalty, and partnership of Kenyans over the past two and a half decades. https://t.co/Nyga80hPh9",0,0,0,0,80,"July 24, 2025 at 09:09 AM",Neutral
1.95e+18,https://x.com/obwedede/status/1948301344843919753,"Customer Growth: 50M Connected, The @Safaricom story proves one thing: when purpose meets innovation, impact follows.
This is more than a network. It’s a national treasure. https://t.co/RoXqJ52SX5",0,2,0,0,19,"July 24, 2025 at 08:36 AM",Neutral
1.95e+18,https://x.com/obwedede/status/1948295655346012530,"Through the @Safaricom and M-PESA Foundations, 8M+ Kenyans have benefited from projects in:
📚 Education
🏥 Healthcare
💼 Economic empowerment
That’s real social investment. 50M Connected, Customer Growth. https://t.co/sZIM5mS6PC",0,2,0,0,29,"July 24, 2025 at 08:14 AM",Neutral
1.95e+18,https://x.com/obwedede/status/1948295244396548199,"In the last financial year, @Safaricom contributed KES 722B to the Kenyan economy.
That’s 5.7% of GDP — powering growth, infrastructure, jobs, and national development. 50M Connected, Customer Growth. https://t.co/fQKepmkk98",0,0,0,0,6,"July 24, 2025 at 08:12 AM",Neutral
1.95e+18,https://x.com/obwedede/status/1948294724365795439,"Beyond Kenya, @Safaricom is also winning in Ethiopia.
As of July 2025, its operations there have surpassed 10 million customers  proof that its vision for African expansion is taking root. 50M Connected, Customer Growth https://t.co/zXVuIfvSgI",0,1,1,0,17,"July 24, 2025 at 08:10 AM",Neutral
1.95e+18,https://x.com/obwedede/status/1948294707856998633,"50M Connected isn’t just a stat. It’s a symbol of how @Safaricom has scaled digital inclusion and access to opportunity across Kenya  from cities to villages, from youth to elders. Customer Growth. https://t.co/1OyaM4Ci5P",0,2,1,0,12,"July 24, 2025 at 08:10 AM",Neutral
1.95e+18,https://x.com/obwedede/status/1948292984362996034,"From just 17,000 subscribers in 2000 to 50M Connected in 2025 @Safaricom Customer Growth tells the story of Kenya’s digital transformation.
It’s not just telecom. It’s a national movement. https://t.co/AHCmz7RhnZ",0,2,0,0,25,"July 24, 2025 at 08:03 AM",Neutral
1.95e+18,https://x.com/obwedede/status/1948292005471105248,"Customer Growth: @Safaricom has done it, 50M connected on its mobile network in Kenya!
As we gear up for Safaricom @25, this milestone shows just how deeply the brand is woven into the fabric of Kenyan. https://t.co/LesJ5x3ZT8",0,4,0,0,36,"July 24, 2025 at 07:59 AM",Neutral
1.95e+18,https://x.com/Waihuraa/status/1948058605678395780,@Safaricom have changed their FOR YOU to 50M + customers. Hawana kazi? Kwanza that FOR YOU is cringe.,1,0,0,0,57,"July 23, 2025 at 04:32 PM",Neutral
1.95e+18,https://x.com/andala_b/status/1948033252658466837,"@DCI_Kenya Hii ni jaba, how can I whats app DCI nikue anonymus na @safaricom inawapea mwakenya kunieka maftani. Mnatupima akili. There is no safeguard for whistle blowers here its all traps….",2,0,0,0,476,"July 23, 2025 at 02:51 PM",Data protection and privacy concern
1.95e+18,https://x.com/DicksonKitavi/status/1947935206973046855,@safaricom-care Why there is network problem in Mombasa?,0,0,0,0,25,"July 23, 2025 at 08:21 AM",Network reliability problem
1.95e+18,https://x.com/nyaga90mugo/status/1947934775991279855,@Safaricom no network coverage in kwale town.,0,0,0,0,14,"July 23, 2025 at 08:20 AM",Network reliability problem
1.95e+18,https://x.com/samwafula306/status/1947693616086057365,@Safaricom_Care @Safaricom care. I have highlighted my case in your dm.Kindly respond,0,0,0,0,14,"July 22, 2025 at 04:21 PM",Customer care complaint
1.95e+18,boycott,"@Safaricom_Care @Safaricom care,why am I not receiving my money send from USA two hours later? https://t.co/CskQjtYaXp",1,0,0,0,19,"July 22, 2025 at 04:18 PM",MPESA complaint
1.95e+18,https://x.com/Mas_avu/status/1947662377568374897,My @safaricom network is misbehaving,0,0,0,0,66,"July 22, 2025 at 02:17 PM",Network reliability problem
1.95e+18,https://x.com/josphatbyrne2/status/1947516385212739920,"A good reason to migrate from @safaricom to other networks.

How can one fail to make a call with this number of minutes?
@SafaricomPLC 
@Safaricom_Care https://t.co/CHv2HguDt2",0,0,0,0,15,"July 22, 2025 at 04:37 AM",Network reliability problem
1.95e+18,https://x.com/Kisaka_245/status/1947343843688415239,@GathogoBMwangi @Safaricom @mpesa it's time to review these changes as they have become so high to common people transacting in small amounts.,2,0,0,0,267,"July 21, 2025 at 05:12 PM",MPESA complaint
1.95e+18,https://x.com/ArapTililen/status/1947333545074049079,@safaricom rudisheni hii na mnipee bundles .sasa sms nazifanyia nini https://t.co/CvaD1kd5wM,1,0,0,0,16,"July 21, 2025 at 04:31 PM",Internet or airtime bundle complaint
1.95e+18,https://x.com/iamaludeal_44/status/1947278808698044884,Just like @Safaricom,1,0,0,0,22,"July 21, 2025 at 12:53 PM",Neutral
1.95e+18,https://x.com/TristanKE500/status/1946803698081865959,Oyaah @safaricom data ya youtube mnanipea ya nini kama nitaingia youtube mtumie hio data ingine? Kumbaff,0,0,0,0,12,"July 20, 2025 at 05:25 AM",Internet or airtime bundle complaint
1.95e+18,https://x.com/Bantab/status/1946131507933741556,"Kudos to our ARC member @bantu_bytes for sharing insights on automating repetitive tasks with Rails! 💻🚀 @ruby_african @safaricom

#RubyConfAfrica #RubyConfAfrica2025 #africanruby #nairuby #rubycommunity https://t.co/WRhJnMY0me",15,6,2,0,630,"July 18, 2025 at 08:54 AM",Neutral
1.95e+18,https://x.com/AskPolymarket/status/1945565930139926610,"@__kellybae @ABN_KE @safaricom @SafaricomPLC KES 100,000 is roughly $769 USD at current exchange rates. Safaricom's gesture to help small businesses is awesome.",0,0,0,0,23,"July 16, 2025 at 07:27 PM",Neutral
1.95e+18,https://x.com/ABN_KE/status/1945537152877514845,"What else after Gen-Z 's Demos? 😩😢
As part of its continued commitment to stand with small businesses during challenging times, @Safaricom has donated KES 100,000 to Bemotec Communications Ltd - a mobile devices vendor in Eldoret to help the business recover from losses suffered during the recent demonstrations.",4,2,1,1,463,"July 16, 2025 at 05:32 PM",Neutral
1.95e+18,https://x.com/SokoAnalyst/status/1945456521757773858,@SafaricomPLC @safaricom Safaricom's scale is phenomenal: 48.24M Mobile Users + 678K Fixed Subs + Billions in Voice/SMS traffic monthly. The engine powering Kenya's digital economy. 🇰🇪💡,1,1,0,0,556,"July 16, 2025 at 12:12 PM",Neutral
1.95e+18,https://x.com/SokoAnalyst/status/1945456310973091951,@SafaricomPLC @safaricom Safaricom processed a colossal 12.7 BILLION SMS messages in Q1 2025.Driving communication &amp; value for millions daily. Essential connectivity at its best,0,1,1,0,605,"July 16, 2025 at 12:11 PM",Neutral
1.95e+18,https://x.com/SokoAnalyst/status/1945456198636966334,@SafaricomPLC @safaricom Safaricom isn't just mobile. They are Kenya's FIXED Internet LEADER with 36.5% market share (678K subs). Expanding horizons &amp; powering homes/businesses! 🏠💻,0,0,1,0,148,"July 16, 2025 at 12:11 PM",Neutral
1.95e+18,https://x.com/SokoAnalyst/status/1945456035281404226,"@SafaricomPLC It is without a doubt that @Safaricom users LOVE their network, 16.88 BILLION on-net voice minutes (Jan-Mar 2025) show incredible customer stickiness &amp; satisfaction. That's the Safaricom advantage. https://t.co/Rk6RHL5Ko5",0,1,1,0,161,"July 16, 2025 at 12:10 PM",Neutral
1.95e+18,https://x.com/Itsmungaiii/status/1945442328132334043,@safaricom Transaction fees and withdrawal fees are high kwani ni network ya Ethereum mnatumia ??,0,0,0,0,10,"July 16, 2025 at 11:16 AM",MPESA complaint
1.95e+18,https://x.com/ABN_KE/status/1945395160398848473,"Impacting lives and celebrating each and every customer! @safaricom has impacted over 4.9m lives.  

Hapa ni Kachibora!! 🫡🫡 https://t.co/gHHyqWnJ55",6,6,0,0,361,"July 16, 2025 at 08:08 AM",Neutral
1.95e+18,https://x.com/SafaricomET/status/1945343536838176835,"@GirumXo @safaricom we’re working on rolling out more products and services tailored to our customers' needs. However, currently, we offer only 10 Mbps for 1,199 Birr and 20 Mbps for 2,199 Birr. We encourage you to stay tuned to our social media pages for future updates and new offerings! ^SN",0,0,0,0,44,"July 16, 2025 at 04:43 AM",Neutral
1.95e+18,https://x.com/denniskip97/status/1945226260088549422,@safaricom you are a scam https://t.co/80BRkJ5uB2,0,0,0,0,27,"July 15, 2025 at 08:57 PM",Customer care complaint
1.95e+18,https://x.com/obwedede/status/1945038168488542640,"@lawrencekitema Watu wa Rift Valley, msikose hii opportunity.
Free workshops, SME support, na raha ya customer appreciation. @Safaricom iko kwa ground! ✅ Sifire Connect #MPESASokoni",0,0,0,0,11,"July 15, 2025 at 08:30 AM",Neutral
1.95e+18,https://x.com/obwedede/status/1945034430273163455,"During #MPSokoni, @Safaricom isn’t just handing out goodies they’re teaching Kenyans about smart digital tools. Products like Ziidi MMF, Fuliza ya Biashara, and Pochi la Biashara are being demystified in real time. https://t.co/YoCKgN45T0",0,0,0,0,15,"July 15, 2025 at 08:15 AM",Neutral
1.95e+18,https://x.com/obwedede/status/1945029088369881459,"Turbo was 🔥🔥
Now it's Matunda, Moi’s Bridge, Kitale, Eldoret, Baringo, Nakuru.
The Rift Region is feeling the @Safaricom love.#MPESASokoni https://t.co/dmZSp7MTxP",0,0,0,0,12,"July 15, 2025 at 07:54 AM",Neutral
1.95e+18,https://x.com/obwedede/status/1945027643558048147,"SMEs are the engine of Kenya’s economy.
@Safaricom gets that and that’s why they’re here on the ground with practical solutions #MPESASokoni https://t.co/YMz5z6vf8b",1,1,0,0,63,"July 15, 2025 at 07:48 AM",Neutral
1.95e+18,https://x.com/obwedede/status/1945024700091957616,"@Safaricom understands that real impact happens at the grassroots.
That’s why programs like Ndoto Zetu are supporting changemakers in Rift communities.#MPESASokoni https://t.co/LXNTSmrPFa",0,1,0,0,7,"July 15, 2025 at 07:36 AM",Neutral
1.95e+18,https://x.com/obwedede/status/1945023531785306161,"M-PESA @18 is a Kenyan success story.
Now the Rift gets to enjoy giveaways, training, and real community support.
Thank you @Safaricom for showing up for the people.#MPESASokoni https://t.co/UiSYrfhstj",0,3,0,0,36,"July 15, 2025 at 07:32 AM",Neutral
1.94e+18,https://x.com/okweffu/status/1944829137136259513,"@safaricom you've  become a disgusting subject to The MOST HIGH suffering youths of KENYA 
@C_NyaKundiH  @edwinsifuna @mbiti_mwondi @s1ah_wanja @Mabonga_254 @ahmednasirlaw @Honeyfarsafi @Bookten8 
Help me expose this con
#safaricomcons
#boycotsaficom 
#safaricomthieves https://t.co/CLsLdd2Woy",0,0,0,0,13,"July 14, 2025 at 06:39 PM",Hate Speech
